name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HK029,0.69897,0.5,-0.30103,1.69897,0.706291,0.499223,-0.292155,1.70474
HK030,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK031,0.69897,0.5,-0.30103,1.69897,0.669484,0.499958,-0.330432,1.6694
HK032,0.69897,0.5,-0.30103,1.69897,0.621915,0.499896,-0.377876,1.62171
HK033,0.69897,0.5,-0.30103,1.69897,0.699165,0.499915,-0.300664,1.699
HK034,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK035,0.69897,0.5,-0.30103,1.69897,0.732552,0.499948,-0.267343,1.73245
HK036,0.69897,0.5,-0.30103,1.69897,0.704496,0.499969,-0.295441,1.70443
HK037,0.69897,0.5,-0.30103,1.69897,0.729128,0.499952,-0.270776,1.72903
HK038,0.69897,0.5,-0.30103,1.69897,0.699496,0.499229,-0.298961,1.69795
HK039,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK040,0.69897,0.5,-0.30103,1.69897,0.797294,0.49414,-0.190986,1.78557
HK041,0.69897,0.5,-0.30103,1.69897,0.684968,0.499955,-0.314943,1.68488
HK042,0.69897,0.5,-0.30103,1.69897,0.684636,0.499918,-0.3152,1.68447
HK043,0.69897,0.5,-0.30103,1.69897,0.701517,0.499478,-0.29744,1.70047
HK044,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK045,0.69897,0.5,-0.30103,1.69897,0.732042,0.499982,-0.267922,1.73201
HK046,0.69897,0.5,-0.30103,1.69897,0.715737,0.499929,-0.284122,1.7156
HK047,0.69897,0.5,-0.30103,1.69897,0.56774,0.499385,-0.43103,1.56651
HK048,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK049,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK050,0.69897,0.5,-0.30103,1.69897,0.742658,0.499958,-0.257258,1.74257
